Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
52,Bojan Bogdanović\bogdabo02,SF,30,UTA,47,1565,16.3,.610,.490,.290,2.0,11.2,6.8,9.7,0.8,0.3,13.5,26.3,,2.1,1.5,3.6,.110,,1.7,-1.7,-0.1,0.8
53,Jonah Bolden\boldejo01,PF,24,PHI,4,14,-2.0,.515,.333,.667,0.0,7.8,3.9,0.0,3.5,0.0,34.0,18.1,,-0.1,0.0,0.0,-0.136,,-10.0,-1.0,-11.0,0.0
54,Jordan Bone\bonejo01,PG,22,DET,6,19,-8.5,.222,.333,.000,0.0,0.0,0.0,22.0,0.0,0.0,18.2,25.1,,-0.1,0.0,-0.1,-0.349,,-15.3,-9.7,-25.0,-0.1
55,Isaac Bonga\bongais01,SF,20,WAS,42,735,11.1,.635,.265,.356,6.3,14.4,10.2,7.6,1.8,1.5,16.4,10.3,,1.0,0.2,1.2,.076,,-0.6,-0.2,-0.8,0.2
56,Devin Booker\bookede01,SG,23,PHO,45,1623,21.2,.634,.291,.391,1.6,11.0,6.2,29.9,1.0,0.6,15.6,29.7,,4.2,1.0,5.2,.153,,4.1,-1.9,2.2,1.7
57,Chris Boucher\bouchch01,PF,27,TOR,41,529,20.5,.563,.358,.394,15.3,20.8,18.1,5.1,1.3,6.9,6.6,19.6,,1.3,1.1,2.4,.219,,0.2,2.1,2.3,0.6
58,Brian Bowen\bowenbr02,SG,21,IND,3,10,1.0,.250,.250,.000,0.0,11.1,5.6,0.0,0.0,8.7,0.0,17.6,,0.0,0.0,0.0,-0.149,,-12.6,-0.5,-13.1,0.0
59,Ky Bowman\bowmaky01,PG,22,GSW,37,827,9.3,.490,.341,.110,2.2,10.2,6.1,19.4,2.1,0.5,15.0,16.8,,-0.3,0.5,0.1,.007,,-3.1,-1.2,-4.3,-0.5
60,Avery Bradley\bradlav01,SG,29,LAL,33,760,7.3,.506,.357,.059,2.2,8.3,5.3,6.3,1.8,0.2,12.2,15.5,,-0.3,0.8,0.6,.035,,-2.9,-0.5,-3.4,-0.3
61,Tony Bradley\bradlto01,C,22,UTA,36,372,19.9,.648,.000,.284,17.8,26.0,22.1,3.7,1.3,3.3,12.8,16.5,,1.0,0.7,1.7,.221,,0.0,0.9,0.9,0.3
62,Jarrell Brantley\brantja01,PF,23,UTA,2,9,10.2,,,,0.0,46.2,24.2,13.3,0.0,18.4,100.0,4.9,,0.0,0.0,0.0,.062,,-11.7,15.2,3.5,0.0
63,Ignas Brazdeikis\brazdig01,SF,21,NYK,9,53,3.4,.351,.409,.227,3.8,6.2,4.9,10.8,0.0,1.8,7.6,20.9,,-0.1,0.0,-0.1,-0.113,,-6.5,-4.1,-10.7,-0.1
64,Mikal Bridges\bridgmi01,SF,23,PHO,48,1176,12.4,.604,.356,.307,3.8,13.9,8.7,8.3,2.6,1.7,12.9,12.3,,1.3,1.4,2.7,.109,,-0.8,2.1,1.3,1.0
65,Miles Bridges\bridgmi02,SF,21,CHO,48,1443,11.9,.534,.394,.156,4.6,15.3,9.7,9.6,1.0,2.2,12.2,18.9,,0.3,0.8,1.1,.037,,-1.9,-0.5,-2.3,-0.1
66,Oshae Brissett\brissos01,SF,21,TOR,15,117,5.2,.446,.419,.194,7.3,11.4,9.4,4.6,1.2,0.8,15.1,14.5,,-0.1,0.2,0.1,.024,,-4.9,-0.5,-5.5,-0.1
67,Ryan Broekhoff\broekry01,SG,29,DAL,12,105,15.0,.660,.806,.167,1.0,18.6,9.9,5.4,0.9,1.6,9.4,17.3,,0.2,0.1,0.3,.137,,1.1,-2.3,-1.2,0.0
68,Malcolm Brogdon\brogdma01,PG,27,IND,34,1030,19.2,.550,.293,.263,2.7,13.4,8.1,36.1,1.3,0.5,14.1,26.1,,1.8,1.0,2.8,.133,,2.5,-0.8,1.7,1.0
69,Dillon Brooks\brookdi01,SG,24,MEM,49,1385,13.1,.539,.394,.207,3.8,8.8,6.3,10.5,1.6,1.3,10.1,24.6,,0.7,0.8,1.4,.049,,-0.3,-2.1,-2.3,-0.1
70,Bruce Brown\brownbr01,SG,23,DET,47,1265,12.1,.521,.223,.287,3.9,13.5,8.7,20.4,2.1,1.6,17.1,16.0,,0.6,1.1,1.7,.065,,-1.6,1.1,-0.6,0.5
71,Charlie Brown\brownch02,SG,22,ATL,8,37,12.8,.469,.471,.294,5.7,5.9,5.8,7.8,2.5,4.5,9.4,23.7,,0.0,0.0,0.0,.014,,-3.3,-1.4,-4.7,0.0
