,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,CFID,CFPARAMS,season
4,1610612741,Chicago Bulls,82,41,41,0.5,3956.0,0.487,0.259,0.14,0.311,0.507,0.219,0.139,0.267,1,15,15,15,18,30,21,13,3,10,2,20,8,10,Chicago Bulls,2016-17
5,1610612739,Cleveland Cavaliers,82,51,31,0.622,3976.0,0.547,0.275,0.14,0.264,0.516,0.226,0.129,0.278,1,5,5,5,4,2,15,11,21,18,3,29,14,10,Cleveland Cavaliers,2016-17
6,1610612742,Dallas Mavericks,82,33,49,0.402,3956.0,0.505,0.225,0.127,0.216,0.529,0.282,0.16,0.267,1,22,22,22,18,18,29,3,30,27,20,1,7,10,Dallas Mavericks,2016-17
7,1610612743,Denver Nuggets,82,40,42,0.488,3951.0,0.53,0.276,0.15,0.314,0.532,0.248,0.12,0.247,1,18,18,18,25,5,13,23,2,28,6,30,2,10,Denver Nuggets,2016-17
8,1610612765,Detroit Pistons,82,37,45,0.451,3961.0,0.492,0.218,0.123,0.286,0.516,0.253,0.133,0.225,1,19,19,19,13,27,30,2,9,19,9,24,1,10,Detroit Pistons,2016-17
9,1610612744,Golden State Warriors,82,67,15,0.817,3956.0,0.563,0.259,0.146,0.272,0.486,0.261,0.154,0.291,1,1,1,1,18,1,20,20,17,1,11,5,27,10,Golden State Warriors,2016-17
10,1610612745,Houston Rockets,82,55,27,0.671,3956.0,0.545,0.304,0.15,0.281,0.519,0.25,0.149,0.283,1,3,3,3,18,3,2,22,15,21,8,11,21,10,Houston Rockets,2016-17
11,1610612754,Indiana Pacers,82,42,40,0.512,3971.0,0.516,0.261,0.141,0.255,0.512,0.286,0.153,0.287,1,13,13,13,7,13,19,15,26,15,23,6,24,10,Indiana Pacers,2016-17
12,1610612746,LA Clippers,82,51,31,0.622,3951.0,0.537,0.312,0.133,0.256,0.506,0.274,0.136,0.267,1,5,5,5,25,4,1,6,25,6,13,21,6,10,LA Clippers,2016-17
13,1610612747,Los Angeles Lakers,82,26,56,0.317,3941.0,0.501,0.259,0.153,0.284,0.542,0.279,0.146,0.283,1,28,28,28,30,22,22,27,11,30,17,14,18,10,Los Angeles Lakers,2016-17
14,1610612763,Memphis Grizzlies,82,43,39,0.524,3981.0,0.491,0.28,0.137,0.295,0.506,0.341,0.152,0.269,1,11,11,11,2,28,11,9,7,7,30,8,9,10,Memphis Grizzlies,2016-17
15,1610612748,Miami Heat,82,41,41,0.5,3956.0,0.512,0.251,0.14,0.284,0.496,0.281,0.142,0.282,1,15,15,15,18,15,26,12,12,4,19,17,16,10,Miami Heat,2016-17
